images/dict-0.png|ᠰᠡᠭᠥᠳᠡᠭᠡᠯᠵᠡᠬᠥ  ᠳᠠᠳᠠᠭᠳᠠᠬᠤ  ᠴᠡᠪᠡᠷᠯᠡᠯᠴᠡᠬᠦ
images/dict-1.png|ᠪᠤᠷᠤᠭᠤᠳᠠᠬᠤ ᠵᠢᠮᠦᠦᠰ ᠨᠢᠳᠤᠷᠭᠠᠳᠠᠬᠤ ᠡᠮᠴᠢᠯᠡᠭᠤᠯᠬᠤ ᠰᠠᠯᠭ᠎ᠠ ᠬᠤᠳᠬᠤᠯᠴᠠᠬᠤ ᠱᠢᠬᠠᠴᠠᠬᠤ
images/dict-2.png|ᠬᠣᠮᠪᠣᠭ᠎ᠠ ᠬᠤᠨᠢᠠᠰᠲᠠᠢ ᠣᠢᠢᠲᠠᠢ ᠬᠣᠯᠢᠴᠠᠭ᠎ᠠ ᠲᠠᠢ
images/dict-3.png|ᠬᠠᠢᠢᠷᠠᠯᠠᠬᠣ ᠤᠮᠠᠯᠵᠠᠭᠤᠯᠬᠤ  ᠬᠡᠮᠵᠢᠶ ᠡ ᠥᠭᠡᠢ  ᠺᠠᠮᠹᠣᠷ ᠴᠦᠯᠢᠢᠯᠭᠡᠬᠦ ᠰᠠᠷᠢᠰᠤᠯᠠᠬᠤ  ᠱᠠᠵᠢᠯᠠᠬᠤ
images/dict-4.png|ᠠᠯᠪᠠᠴᠢ ᠬᠡᠨᠡᠭ ᠦᠬᠡᠢ ᠵᠠᠪᠳᠤᠭᠠᠲᠠᠢ ᠳᠥᠰᠢᠭᠯᠡᠬᠥ  ᠥᠰᠦᠷᠬᠡᠬᠦ ᠰᠠᠭᠠᠮᠠᠰᠢᠷᠠᠬᠤ ᠬᠠᠷᠢᠭᠯᠠᠬᠤ ᠰᠥᠷᠥᠭᠴᠢᠨ 
images/dict-5.png|ᠠᠷᠭᠤᠯᠴᠠᠭ ᠬᠣᠪᠤᠰᠤ ᠰᠡᠭᠡᠯᠭᠡᠬᠦ ᠬᠤᠯᠤᠨᠴᠠᠭ  ᠳᠠᠯᠠᠷᠬᠠᠬᠤ
images/dict-6.png|ᠢᠯᠠᠬᠤ ᠱᠣᠭᠱᠢᠭ ᠠ ᠬᠤᠷᠳᠤᠳᠬᠤ
images/dict-7.png|ᠠᠵᠢᠭ ᠦᠭᠡᠢᠢᠳᠡᠬᠦ ᠣᠨ ᠲᠤᠰᠤᠮ ᠠ ᠵᠢᠷᠦᠬᠡᠪᠡᠴᠢ ᠰᠡᠷᠲᠡᠯᠵᠡᠬᠦᠯᠬᠦ ᠡᠷᠬᠡᠰᠢᠧᠡᠬᠤ ᠫᠦᠩ ᠬᠢᠬᠦ
images/dict-8.png|ᠪᠤᠰᠤᠷᠬᠤ ᠣᠯᠬᠤ ᠪᠣᠢᠢᠱᠢᠯ ᠳᠡᠷᠰᠳᠡᠬᠥ  ᠠᠭᠴᠢ ᠼᠧᠮᠧᠨᠲᠯᠡᠬᠦᠯᠬᠦ ᠱᠠᠯᠠᠪᠯᠠᠬᠤ ᠠᠵᠢᠷᠠᠭᠠᠯᠠᠭᠤᠯᠬᠤ
images/dict-9.png|ᠮᠤᠪᠢ ᠬᠠᠬᠤᠷᠠᠬᠤ ᠳᠠᠯᠪᠢᠷᠠᠬᠤ  ᠬᠠᠷᠠᠭᠤᠯᠳᠠᠬᠤ ᠴᠣᠴᠢᠮᠬᠠᠢ ᠭᠣᠳᠤᠪᠠᠯᠵᠠᠬᠤ ᠴᠢᠩᠭᠢᠷ
images/dict-10.png|ᠣᠪᠤᠴᠢᠬᠤ ᠢᠭᠡᠷᠭᠡᠬᠥ ᠴᠢᠬᠢᠷᠡᠬᠦ
images/dict-11.png|ᠬᠠᠯᠬᠠᠯᠵᠠᠬᠣ ᠸᠠᠭᠠᠷ ᠡᠯᠤᠨᠴᠡᠭ ᠣᠷᠤ ᠲᠠᠢ ᠬᠤᠭᠤᠰᠤᠳᠠᠬᠤ  ᠰᠤᠨᠳᠤᠢᠢᠬᠤ  ᠬᠠᠭᠤᠷᠳᠤᠬᠤ ᠥᠦᠬᠡᠢᠢᠯᠡᠬᠦᠯᠬᠦ
images/dict-12.png|ᠵᠠᠪᠢᠯᠠᠭᠤᠯᠬᠤ ᠪᠢᠷᠠᠯᠬᠠᠭ ᠨᠠᠢ ᠥᠭᠡᠢ ᠵᠣᠳᠣᠯᠳᠤᠭᠤᠯᠬᠤ
images/dict-13.png|ᠪᠠᠷᠵᠠᠢᠢᠬᠤ ᠬᠤᠷᠠᠰᠢᠬᠤ ᠠᠷᠬᠠᠭ ᠠᠮᠢᠰᠭᠣᠯᠯᠠᠬᠤ
images/dict-14.png|ᠳᠠᠷᠭᠢᠯᠭᠠᠬᠤ ᠴᠡᠩᠬᠡᠷᠯᠡᠬᠦ ᠱᠢᠨᠡᠳᠭᠡᠬᠦ ᠬᠤᠳᠳᠤᠭᠯᠠᠬᠤ ᠪᠠᠷᠢᠴᠠᠯᠳᠤᠭᠤᠯᠬᠤ ᠠᠰᠠᠭᠠᠯᠭᠤᠷ ᠵᠢᠭᠢᠷᠢᠭᠡᠮᠰᠢᠬᠥ ᠥᠢᠯᠡᠴᠢᠯᠡᠬᠥ 
images/dict-15.png|ᠪᠦᠭᠡᠷᠡᠯᠵᠡᠭᠡᠨ᠎ᠡ ᠺᠣᠯᠯᠸᠭᠢ ᠬᠣᠷᠢ ᠳᠠᠷᠠᠢᠢᠯᠭᠠᠬᠤ ᠳᠡᠩᠨᠡᠯᠵᠦᠷ ᠮᠠᠴᠠᠭᠯᠠᠬᠤ
